tour;tour_len;related_starting_points
[8, 9, 11, 6, 5, 14, 13, 12, 15, 2, 1, 3, 7, 0, 4, 10];7296;34
[4, 10, 8, 9, 0, 7, 13, 14, 3, 1, 2, 15, 12, 11, 6, 5];7847;14
[9, 15, 3, 1, 2, 8, 10, 4, 7, 0, 11, 12, 13, 14, 5, 6];8530;3
[12, 13, 11, 9, 6, 5, 14, 4, 10, 8, 15, 0, 7, 3, 1, 2];7411;22
[1, 2, 11, 6, 5, 13, 12, 9, 8, 10, 4, 14, 15, 0, 7, 3];7255;34
[13, 12, 11, 0, 7, 14, 4, 10, 8, 9, 5, 6, 15, 2, 1, 3];7782;75
[1, 14, 4, 10, 8, 9, 11, 15, 0, 7, 3, 12, 13, 5, 6, 2];8320;5
[9, 8, 10, 4, 3, 1, 2, 15, 12, 6, 5, 14, 13, 7, 0, 11];8108;9
[6, 5, 13, 15, 0, 7, 14, 4, 10, 8, 9, 11, 12, 3, 1, 2];8042;14
[0, 2, 1, 3, 7, 12, 5, 6, 9, 11, 13, 14, 4, 10, 8, 15];7568;9
[11, 9, 6, 5, 12, 13, 14, 4, 10, 8, 2, 1, 3, 7, 0, 15];7475;50
[10, 8, 15, 0, 13, 12, 11, 9, 6, 5, 14, 7, 2, 1, 3, 4];8508;2
[1, 3, 7, 0, 14, 13, 9, 8, 10, 4, 5, 6, 11, 12, 15, 2];7176;12
[1, 2, 9, 6, 13, 14, 5, 8, 10, 4, 3, 7, 0, 12, 11, 15];8535;1
[12, 0, 7, 3, 14, 5, 9, 8, 10, 4, 1, 2, 15, 11, 6, 13];8472;3
[0, 15, 14, 4, 10, 8, 5, 6, 13, 12, 11, 9, 2, 1, 3, 7];7299;14
[3, 1, 2, 15, 12, 13, 14, 5, 6, 11, 7, 0, 9, 8, 10, 4];8049;16
[1, 2, 15, 12, 13, 11, 9, 6, 5, 14, 4, 10, 8, 0, 7, 3];7368;56
[14, 7, 3, 1, 2, 6, 5, 4, 10, 8, 9, 15, 0, 11, 12, 13];7961;6
[12, 13, 5, 6, 11, 2, 1, 3, 7, 0, 15, 14, 4, 10, 8, 9];7255;17
[3, 14, 5, 9, 8, 10, 4, 1, 2, 15, 11, 6, 13, 12, 0, 7];8472;2
